order_id,customer_id,order_date,status
O0175,C042,2026-05-09,Delivered
O0176,C049,2026-05-10,Delivered
O0177,C047,2026-05-11,Cancelled
O0178,C079,2026-05-11,Delivered
O0179,C007,2026-05-12,Delivered
O0180,C009,2026-05-13,Delivered
O0181,C028,2026-05-14,Delivered
O0182,C049,2026-05-14,Cancelled
O0183,C068,2026-05-15,Delivered
O0184,C050,2026-05-16,Delivered
O0185,C045,2026-05-17,Delivered
O0186,C094,2026-05-17,Cancelled
O0187,C017,2026-05-18,Delivered
O0188,C058,2026-05-19,Cancelled
O0189,C055,2026-05-19,Delivered
O0190,C048,2026-05-20,Delivered
O0191,C081,2026-05-21,Delivered
O0192,C027,2026-05-22,Delivered
O0193,C096,2026-05-22,Delivered
O0194,C034,2026-05-23,Delivered
O0195,C055,2026-05-24,Delivered
O0196,C053,2026-05-25,Delivered
O0197,C085,2026-05-25,Delivered
O0198,C044,2026-05-26,Delivered
O0199,C029,2026-05-27,Delivered
O0200,C003,2026-05-28,Delivered
O0201,C037,2026-05-28,Delivered
O0202,C083,2026-05-29,Cancelled
O0203,C001,2026-05-30,Delivered
O0204,C090,2026-05-31,Delivered
O0205,C055,2026-05-31,Cancelled
O0206,C015,2026-06-01,Delivered
O0207,C031,2026-06-02,Delivered
O0208,C056,2026-06-03,Delivered
O0209,C032,2026-06-03,Delivered
O0210,C011,2026-06-04,Cancelled
O0211,C067,2026-06-05,Delivered
O0212,C068,2026-06-05,Delivered
O0213,C012,2026-06-06,Delivered
O0214,C029,2026-06-07,Delivered
O0215,C025,2026-06-08,Delivered
O0216,C066,2026-06-08,Delivered
O0217,C074,2026-06-09,Delivered
O0218,C073,2026-06-10,Delivered
O0219,C094,2026-06-11,Delivered
O0220,C077,2026-06-11,Cancelled
O0221,C033,2026-06-12,Delivered
O0222,C011,2026-06-13,Delivered
O0223,C062,2026-06-14,Delivered
O0224,C092,2026-06-14,Delivered
O0225,C098,2026-06-15,Delivered
O0226,C024,2026-06-16,Delivered
O0227,C024,2026-06-17,Delivered
O0228,C004,2026-06-17,Delivered
O0229,C015,2026-06-18,Delivered
O0230,C056,2026-06-19,Delivered
O0231,C055,2026-06-20,Cancelled
O0232,C038,2026-06-20,Delivered
O0233,C031,2026-06-21,Delivered
O0234,C083,2026-06-22,Delivered
O0235,C047,2026-06-22,Delivered
O0236,C081,2026-06-23,Delivered
O0237,C097,2026-06-24,Delivered
O0238,C032,2026-06-25,Delivered
O0239,C021,2026-06-25,Delivered
O0240,C096,2026-06-26,Delivered
O0241,C064,2026-06-27,Delivered
O0242,C030,2026-06-28,Delivered
O0243,C063,2026-06-28,Delivered
O0244,C052,2026-06-29,Delivered
O0245,C091,2026-06-30,Delivered
O0246,C026,2026-07-01,Delivered
O0247,C100,2026-07-01,Cancelled
O0248,C094,2026-07-02,Delivered
O0249,C019,2026-07-03,Delivered
O0250,C017,2026-07-04,Delivered
O0251,C054,2026-07-04,Delivered
O0252,C005,2026-07-05,Delivered
O0253,C030,2026-07-06,Delivered
O0254,C044,2026-07-07,Delivered
O0255,C097,2026-07-07,Delivered
O0256,C100,2026-07-08,Delivered
O0257,C016,2026-07-09,Cancelled
O0258,C090,2026-07-09,Delivered
O0259,C010,2026-07-10,Delivered
O0260,C075,2026-07-11,Delivered
O0261,C085,2026-07-12,Delivered
O0262,C090,2026-07-12,Delivered
O0263,C023,2026-07-13,Cancelled
O0264,C090,2026-07-14,Delivered
O0265,C012,2026-07-15,Delivered
O0266,C052,2026-07-15,Delivered
O0267,C047,2026-07-16,Delivered
O0268,C032,2026-07-17,Cancelled
O0269,C003,2026-07-18,Delivered
O0270,C078,2026-07-18,Delivered
O0271,C034,2026-07-19,Delivered
O0272,C067,2026-07-20,Delivered
O0273,C042,2026-07-21,Delivered
O0274,C038,2026-07-21,Delivered
O0275,C089,2026-07-22,Delivered
O0276,C010,2026-07-23,Delivered
O0277,C074,2026-07-24,Delivered
O0278,C075,2026-07-24,Delivered
O0279,C038,2026-07-25,Delivered
O0280,C027,2026-07-26,Delivered
O0281,C001,2026-07-26,Delivered
O0282,C094,2026-07-27,Delivered
O0283,C095,2026-07-28,Delivered
O0284,C025,2026-07-29,Delivered
O0285,C004,2026-07-29,Delivered
O0286,C013,2026-07-30,Delivered
O0287,C007,2026-07-31,Delivered
O0288,C084,2026-08-01,Delivered
O0289,C090,2026-08-01,Delivered
O0290,C016,2026-08-02,Delivered
O0291,C075,2026-08-03,Delivered
O0292,C018,2026-08-04,Delivered
O0293,C037,2026-08-04,Delivered
O0294,C060,2026-08-05,Delivered
O0295,C072,2026-08-06,Delivered
O0296,C088,2026-08-07,Delivered
O0297,C005,2026-08-07,Delivered
O0298,C020,2026-08-08,Delivered
O0299,C029,2026-08-09,Delivered
O0300,C032,2026-08-10,Delivered
